rank,team,country,score,best_league_division,first_division_share,titles_score,matches,weighted_matches,record,points,ppg,gf,ga,gd,gf_per_match,ga_per_match,win_rate,adjusted_kicks_per_match,adjusted_passes_per_match,weighted_passes_per_kick,adjusted_gd_per_match,cs_rate,possession,passes_per_match,shots_per_match,competitions
27,"River Plate","🇹🇷",57.38,1,0.345,3.95,28,17.46,"11.02-0.00-6.44",33.07,1.894,62.66,50.61,12.05,3.588,2.898,0.631,258.79,114.53,0.443,0.43,0.743,54.43,183.65,15.69,6
28,"Raimon Junior High","🇳🇱",56.79,1,0.389,16.74,16,8.35,"6.81-0.65-0.89",21.07,2.523,48.94,16.22,32.73,5.860,1.942,0.815,226.87,83.01,0.366,2.05,0.467,51.15,159.02,23.49,4
29,"V Destroyers","🇪🇺",56.48,1,0.814,5.80,9,4.99,"3.83-0.58-0.58",12.06,2.419,20.88,10.44,10.44,4.186,2.093,0.767,237.77,97.96,0.412,1.16,0.721,50.71,176.74,17.65,3
30,"Cemisgezek United","🇹🇷",56.07,1,0.726,4.55,56,36.99,"19.20-2.81-14.98",60.40,1.633,143.57,125.08,18.49,3.881,3.381,0.519,265.72,114.13,0.430,0.33,0.395,52.37,172.79,13.98,14
31,"Old Farts","🇪🇺",55.87,1,0.475,0.00,42,30.27,"15.00-1.43-13.83",46.44,1.534,120.72,118.22,2.50,3.988,3.906,0.496,284.76,114.42,0.402,0.06,0.514,48.55,158.77,15.00,9
32,"Predators Eagles","🇹🇷",53.65,,0.000,0.00,6,2.63,"2.19-0.00-0.44",6.58,2.500,12.72,3.95,8.77,4.833,1.500,0.833,211.29,88.10,0.417,1.46,1.333,56.10,200.83,25.33,1
33,"Málaga CF","🇪🇺",53.24,1,0.714,7.92,6,2.46,"2.46-0.00-0.00",7.39,3.000,23.58,3.17,20.42,9.571,1.286,1.000,169.52,66.70,0.393,3.40,1.036,54.72,162.43,25.46,4
34,"QS Assurdi","🇮🇹",52.49,1,0.547,4.64,76,50.22,"27.20-5.25-17.77",87.56,1.744,233.83,204.11,29.72,4.656,4.065,0.542,247.03,98.85,0.400,0.39,0.504,49.49,149.61,18.01,16
35,"Haxlock All Stars","🇮🇹",52.30,1,0.522,0.00,26,15.12,"8.82-0.00-6.31",26.45,1.749,53.69,47.49,6.20,3.550,3.140,0.583,239.18,102.30,0.428,0.24,0.531,50.85,175.87,15.57,4
36,"Al Ahly FC","🇫🇷",51.62,1,0.833,0.00,10,4.90,"3.47-0.51-0.92",10.91,2.229,34.07,13.46,20.60,6.958,2.750,0.708,204.59,83.05,0.406,2.06,0.375,50.75,169.63,18.60,2
37,"Haxeritos","🇪🇸",51.37,1,0.862,9.18,12,5.92,"4.90-0.00-1.02",14.69,2.483,25.91,15.10,10.81,4.379,2.552,0.828,196.79,79.87,0.406,0.90,0.741,52.08,162.00,13.09,2
38,"Algeria","🇩🇿",50.83,,0.000,0.00,7,5.30,"2.40-0.00-2.90",7.20,1.358,24.50,27.66,-3.16,4.622,5.217,0.453,262.52,103.11,0.393,-0.45,0.575,47.41,136.14,15.18,2
39,"Giresunspor FC","🇹🇷",49.98,1,0.604,0.00,7,4.31,"2.44-0.00-1.87",7.32,1.698,14.95,18.04,-3.09,3.471,4.188,0.566,242.68,96.72,0.399,-0.44,0.283,51.44,157.16,15.87,3
40,"Inter Futsal","🇵🇹",49.65,1,0.789,0.00,8,6.54,"1.55-0.00-4.99",4.64,0.711,22.53,38.70,-16.17,3.447,5.921,0.237,296.06,117.05,0.395,-2.02,0.105,47.86,143.26,12.16,2
41,"Luton Town FC","🇹🇷",49.55,1,0.824,0.00,9,4.93,"2.32-0.58-2.03",7.54,1.529,19.78,15.31,4.47,4.012,3.106,0.471,230.90,96.26,0.417,0.50,0.588,51.85,175.73,15.12,3
42,"Ajax","🇵🇹",49.08,1,0.618,4.06,11,5.63,"3.57-1.16-0.90",11.87,2.107,24.65,13.15,11.51,4.376,2.334,0.634,216.09,78.41,0.363,1.05,0.640,50.10,153.12,19.34,4
43,"Portugal","🇵🇹",48.38,,0.000,0.00,4,2.75,"2.10-0.00-0.65",6.30,2.291,17.76,10.86,6.90,6.453,3.946,0.764,281.07,103.64,0.369,1.73,0.764,51.62,150.64,30.21,2
44,"United Kingdom","🇬🇧",47.93,,0.000,0.00,8,5.95,"1.60-0.00-4.35",4.80,0.806,26.95,32.01,-5.06,4.529,5.378,0.269,268.32,101.15,0.377,-0.63,0.353,47.99,135.95,14.34,2
45,"Morocco","🇲🇦",47.40,,0.000,0.00,8,5.80,"1.45-0.00-4.35",4.35,0.750,11.75,25.96,-14.21,2.026,4.474,0.250,269.97,110.48,0.409,-1.78,0.388,49.22,152.32,16.46,2
46,"CF Talavera","🇪🇸",46.87,2,0.000,4.65,8,4.00,"2.79-0.00-1.21",8.37,2.093,18.23,14.23,4.00,4.558,3.558,0.698,189.05,75.54,0.400,0.50,0.698,52.16,151.12,16.70,2
47,"Vinotinto","🇪🇸",46.57,2,0.000,0.00,28,12.89,"8.30-0.37-4.22",25.28,1.961,62.28,49.85,12.42,4.831,3.868,0.644,192.40,80.64,0.419,0.44,0.414,51.70,175.16,18.07,4
48,"Kamikaze FC","🇪🇺",46.07,1,0.572,0.00,19,13.00,"3.77-0.00-9.23",11.30,0.870,42.53,69.32,-26.79,3.272,5.333,0.290,253.42,102.35,0.404,-1.41,0.053,50.22,149.59,12.17,4
49,"Spain 2","🇪🇸",45.38,,0.000,0.00,5,3.25,"1.95-0.00-1.30",5.86,1.800,13.01,15.62,-2.60,4.000,4.800,0.600,205.22,82.89,0.404,-0.52,0.400,48.48,127.40,15.20,1
50,"Getafe CF","🇪🇸",45.15,1,0.876,0.00,20,15.80,"1.42-3.16-11.22",7.43,0.470,20.98,64.19,-43.21,1.328,4.062,0.090,296.20,104.87,0.354,-2.16,0.390,45.73,132.73,7.64,4
51,"Real Gamers United","🇪🇺",45.07,1,0.862,0.00,6,2.96,"2.04-0.00-0.92",6.12,2.069,10.61,10.71,-0.10,3.586,3.621,0.690,202.11,71.18,0.352,-0.02,0.345,50.92,144.38,15.55,2
52,"FC CHRG","🇲🇦",44.00,1,1.000,0.00,6,4.32,"0.00-0.00-4.32",0.00,0.000,9.36,23.04,-13.68,2.167,5.333,0.000,276.96,113.64,0.410,-2.28,0.000,49.42,157.83,10.83,2
53,"Black Dragons","🇪🇸",43.87,1,0.619,4.30,59,35.74,"12.70-0.87-22.17",38.98,1.091,99.69,161.85,-62.16,2.789,4.528,0.355,225.24,88.46,0.393,-1.05,0.379,49.75,146.02,12.17,14
54,"Paw Patrol","🇪🇸",43.55,1,0.918,0.00,10,7.74,"0.79-0.79-6.16",3.16,0.408,10.74,29.23,-18.49,1.388,3.776,0.102,274.68,99.90,0.364,-1.85,0.408,48.07,129.04,7.67,2
55,"Deportivo Reyes","🇪🇸",43.34,2,0.000,0.00,62,31.38,"15.73-3.97-11.67",51.16,1.631,132.21,101.11,31.10,4.214,3.223,0.501,192.81,73.78,0.383,0.50,0.339,48.86,145.80,17.56,11
56,"Blue Lock","🇪🇸",42.56,2,0.000,3.60,9,3.46,"2.52-0.36-0.58",7.92,2.292,14.04,4.46,9.58,4.063,1.292,0.729,144.75,59.98,0.414,1.06,1.042,52.69,156.21,16.60,2
57,"France","🇫🇷",42.44,,0.000,0.00,7,5.15,"1.45-0.00-3.70",4.35,0.845,14.81,30.26,-15.46,2.874,5.874,0.282,243.24,94.82,0.390,-2.21,0.282,47.63,128.83,14.02,2
58,"O11CE","🇪🇺",41.71,2,0.000,0.00,10,4.82,"2.84-0.43-1.55",8.94,1.857,28.72,19.26,9.46,5.964,4.000,0.589,152.93,66.62,0.436,0.95,0.679,52.04,138.34,17.98,2
59,"Boquita Juniors","🇪🇸",41.47,1,0.771,0.00,19,10.81,"2.92-2.39-5.50",11.15,1.032,31.41,29.90,1.51,2.905,2.766,0.270,216.99,77.21,0.356,0.08,0.514,48.89,135.72,11.25,7
60,"Los Pollos Hermanos","🇮🇹",41.29,2,0.000,0.00,9,4.80,"1.00-0.50-3.30",3.50,0.729,13.30,20.60,-7.30,2.771,4.292,0.208,220.52,88.08,0.399,-0.81,0.208,49.56,165.15,17.25,2
61,"Grosse Condanne","🇮🇹",41.28,2,0.000,0.00,15,6.21,"3.13-0.36-2.72",9.75,1.571,22.11,16.63,5.49,3.561,2.678,0.504,180.82,68.04,0.376,0.37,0.626,51.46,164.39,18.90,4
62,"Malaquito de Menfis","🇪🇸",40.97,2,0.000,2.00,18,7.94,"2.74-0.67-4.53",8.88,1.119,29.78,36.65,-6.87,3.751,4.617,0.345,181.68,82.70,0.455,-0.38,0.251,52.62,187.54,16.42,4
63,"Opium","🇪🇸",40.75,2,0.000,0.00,11,4.58,"3.16-0.00-1.42",9.48,2.069,17.38,10.82,6.56,3.793,2.362,0.690,162.20,56.05,0.346,0.60,0.862,50.85,134.55,17.24,2
64,"Pizzza FC","🇮🇹",39.60,2,0.000,0.00,16,7.32,"3.97-0.00-3.35",11.90,1.626,19.22,22.73,-3.51,2.626,3.106,0.542,176.07,63.82,0.362,-0.22,0.596,48.55,139.55,16.25,3
65,"FC Santa Claus","🇮🇹",39.53,2,0.000,0.00,21,10.66,"3.29-0.50-6.87",10.37,0.973,49.00,60.30,-11.30,4.597,5.657,0.309,187.36,79.34,0.423,-0.54,0.309,50.36,156.31,20.16,4
66,"Galaxy HC","🇪🇸",38.47,1,0.789,0.00,4,1.67,"1.67-0.00-0.00",5.02,3.000,4.05,2.02,2.02,2.421,1.211,1.000,170.02,69.15,0.407,0.51,1.526,53.61,165.42,14.32,2
67,"Lleida Esportiu","🇪🇸",37.85,1,0.567,0.00,37,17.58,"6.33-1.89-9.37",20.87,1.187,56.12,67.58,-11.46,3.192,3.844,0.360,178.10,68.02,0.382,-0.31,0.500,49.62,143.14,15.06,9
68,"Skibidi Toilet","🇪🇺",36.86,2,0.000,0.00,10,3.64,"2.15-0.00-1.50",6.44,1.768,11.05,11.83,-0.78,3.036,3.250,0.589,141.29,55.56,0.393,-0.08,0.643,50.12,152.64,13.93,2
