rank,team,country,score,best_league_division,first_division_share,titles_score,matches,weighted_matches,record,points,ppg,gf,ga,gd,gf_per_match,ga_per_match,win_rate,adjusted_kicks_per_match,adjusted_passes_per_match,weighted_passes_per_kick,adjusted_gd_per_match,cs_rate,possession,passes_per_match,shots_per_match,competitions
113,"Última Leyenda","🇪🇸",25.49,,0.000,0.00,2,1.40,"0.70-0.00-0.70",2.10,1.500,8.40,6.30,2.10,6.000,4.500,0.500,309.40,138.60,0.448,1.05,0.000,52.30,198.00,22.00,1
114,"Vornix City","🇪🇸",25.23,4,0.000,0.00,12,3.10,"1.40-0.00-1.70",4.20,1.355,7.50,12.00,-4.50,2.419,3.871,0.452,81.33,28.42,0.349,-0.38,0.484,44.61,110.00,13.39,3
115,"Husaria","🇵🇱",25.13,1,0.556,0.00,2,1.80,"0.00-1.00-0.80",1.00,0.556,10.00,12.40,-2.40,5.556,6.889,0.000,384.50,173.60,0.451,-1.20,0.000,49.77,192.89,23.33,2
116,"Albacete","🇪🇸",25.06,4,0.000,1.00,11,3.00,"0.60-0.20-2.20",2.00,0.667,9.80,14.20,-4.40,3.267,4.733,0.200,107.46,36.95,0.344,-0.40,0.500,44.65,135.47,14.50,3
117,"Inter Talavera","🇪🇸",24.68,3,0.000,0.00,8,2.05,"0.37-0.37-1.30",1.49,0.727,7.25,11.16,-3.91,3.545,5.455,0.182,98.95,39.15,0.396,-0.49,0.364,48.37,153.09,23.09,2
118,"PSG","🇪🇺",24.45,3,0.000,0.00,10,3.60,"0.20-0.00-3.40",0.60,0.167,13.40,30.10,-16.70,3.722,8.361,0.056,125.15,50.01,0.400,-1.67,0.000,49.56,138.92,15.72,3
119,"Lleida Femenino","🇪🇸",23.45,2,0.000,0.00,6,1.91,"0.58-0.00-1.33",1.74,0.909,7.83,12.53,-4.70,4.091,6.545,0.303,91.73,30.86,0.336,-0.78,0.000,48.02,96.73,9.30,3
120,"GS Warriors","🇪🇸",23.20,3,0.000,0.00,8,2.60,"0.93-0.00-1.67",2.79,1.071,3.16,11.35,-8.18,1.214,4.357,0.357,84.26,29.83,0.354,-1.02,0.643,43.54,91.64,12.14,2
121,"Gran Colombia","🇨🇴",22.89,,0.000,0.00,3,2.40,"0.00-0.00-2.40",0.00,0.000,3.20,12.00,-8.80,1.333,5.000,0.000,254.40,96.27,0.378,-2.93,0.333,44.83,120.33,4.00,1
122,"PoLish Niedzwiadki","🇵🇱",22.34,4,0.000,0.00,7,1.40,"0.20-0.00-1.20",0.60,0.429,3.40,4.40,-1.00,2.429,3.143,0.143,81.20,32.17,0.396,-0.14,0.286,53.41,160.86,17.64,2
123,"SL Benfica","🇹🇷",21.99,1,1.000,0.00,2,1.16,"0.58-0.00-0.58",1.74,1.500,5.22,3.48,1.74,4.500,3.000,0.500,255.78,111.07,0.434,0.87,0.000,54.80,191.50,17.00,2
124,"Fineta HC","🇪🇸",21.71,3,0.000,0.00,15,3.74,"0.30-1.00-2.44",1.90,0.508,7.93,14.82,-6.88,2.120,3.958,0.080,92.51,33.81,0.366,-0.46,0.286,49.30,135.50,15.01,5
125,"Levante UH","🇪🇸",21.51,,0.000,0.00,3,2.10,"0.70-0.00-1.40",2.10,1.000,4.90,8.40,-3.50,2.333,4.000,0.333,182.23,66.50,0.365,-1.17,0.333,48.07,95.00,8.67,1
126,"Bosnia and Herzegovina","🇧🇦",20.67,,0.000,0.00,3,1.95,"0.00-0.65-1.30",0.65,0.333,4.55,13.01,-8.46,2.333,6.667,0.000,240.96,80.03,0.332,-2.82,0.333,44.07,123.00,10.33,1
127,"El Pepe FC","🇪🇸",20.51,3,0.000,0.00,7,1.72,"0.17-0.00-1.55",0.52,0.300,3.27,9.98,-6.71,1.900,5.800,0.100,90.89,31.87,0.351,-0.96,0.200,52.08,129.70,10.00,2
128,"Málaga HT","🇪🇸",20.34,3,0.000,0.00,12,3.20,"0.80-0.00-2.40",2.40,0.750,3.62,14.38,-10.77,1.129,4.492,0.250,74.31,25.28,0.340,-0.90,0.339,46.47,94.74,5.74,4
129,"Egypt","🇪🇬",19.47,,0.000,0.00,6,4.35,"0.00-0.00-4.35",0.00,0.000,3.40,26.91,-23.51,0.782,6.184,0.000,138.88,38.83,0.280,-3.92,0.000,38.97,53.54,4.28,2
130,"Dinamo Timanfaya Next Gen","🇪🇸",18.37,2,0.000,0.00,14,4.64,"0.36-0.53-3.75",1.61,0.347,4.12,23.62,-19.50,0.886,5.086,0.078,90.44,27.93,0.309,-1.39,0.152,47.41,84.21,5.07,4
131,"HC Los F","🇪🇸",17.90,3,0.000,0.00,13,3.02,"0.34-0.86-1.82",1.89,0.626,5.80,14.48,-8.67,1.922,4.793,0.114,62.94,23.07,0.367,-0.67,0.285,48.26,99.32,12.30,4
132,"Canarios FC","🇲🇦",17.45,1,0.844,0.00,5,2.25,"0.00-0.00-2.25",0.00,0.000,1.88,19.04,-17.16,0.836,8.454,0.000,120.10,34.61,0.288,-3.43,0.000,44.59,76.84,3.26,4
133,"Xanax","🇹🇷",16.91,1,1.000,0.00,1,1.00,"1.00-0.00-0.00",3.00,3.000,8.00,5.00,3.00,8.000,5.000,1.000,424.00,192.00,0.453,3.00,0.000,47.80,192.00,21.00,2
134,"Perú","🇵🇪",16.86,,0.000,0.00,3,2.40,"0.00-0.00-2.40",0.00,0.000,2.40,18.40,-16.00,1.000,7.667,0.000,199.47,62.67,0.314,-5.33,0.000,43.40,78.33,5.33,1
135,"Atletico de Madrid","🇪🇸",16.46,2,0.000,0.00,8,1.69,"0.00-0.10-1.59",0.10,0.059,2.08,7.44,-5.36,1.231,4.402,0.000,70.77,22.89,0.323,-0.67,0.473,48.30,108.33,9.89,4
136,"Zuprimillo FC","🇪🇸",16.32,2,0.000,0.00,6,1.95,"0.00-0.00-1.95",0.00,0.000,2.27,11.38,-9.10,1.167,5.833,0.000,87.05,25.68,0.295,-1.52,0.333,46.13,79.00,4.83,2
137,"Chelsea FC","🇪🇸",13.46,2,0.000,0.00,6,2.16,"0.00-0.00-2.16",0.00,0.000,1.08,13.68,-12.60,0.500,6.333,0.000,72.06,21.42,0.297,-2.10,0.167,42.47,59.50,5.83,2
138,"Vodka Juniors","🇪🇸",12.25,,0.000,0.00,3,1.97,"0.00-0.00-1.97",0.00,0.000,0.00,13.09,-13.09,0.000,6.645,0.000,129.95,45.35,0.349,-4.36,0.000,41.32,69.09,1.64,2
139,"Porritos Express SL","🇪🇸",11.65,,0.000,0.00,2,0.88,"0.00-0.00-0.88",0.00,0.000,2.63,5.70,-3.07,3.000,6.500,0.000,166.04,64.26,0.387,-1.54,0.500,49.25,146.50,8.00,1
140,"FC Pessoux","🇫🇷",10.76,,0.000,0.00,1,0.44,"0.44-0.00-0.00",1.32,3.000,3.51,0.44,3.07,8.000,1.000,1.000,165.38,75.89,0.459,3.07,1.000,59.60,173.00,24.00,1
141,"Argentina","🇦🇷",10.50,,0.000,0.00,1,0.80,"0.00-0.00-0.80",0.00,0.000,4.00,7.20,-3.20,5.000,9.000,0.000,335.20,147.20,0.439,-3.20,0.000,51.50,184.00,11.00,1
142,"Warramela","🇪🇺",10.03,,0.000,0.00,2,0.88,"0.00-0.44-0.44",0.44,0.500,2.19,3.07,-0.88,2.500,3.500,0.000,137.96,43.21,0.313,-0.44,0.000,44.40,98.50,12.00,1
143,"Los Faraones","🇪🇸",9.79,2,0.000,0.00,2,0.58,"0.29-0.00-0.29",0.87,1.500,1.45,2.61,-1.16,2.500,4.500,0.500,75.98,25.23,0.332,-0.58,0.500,49.85,87.00,10.50,2
144,"Balkans","🇪🇺",9.54,,0.000,0.00,2,1.30,"0.00-0.00-1.30",0.00,0.000,2.60,5.86,-3.25,2.000,4.500,0.000,134.04,48.47,0.362,-1.63,0.500,43.60,74.50,7.00,1
145,"Zamalek CS","🇪🇬",9.33,3,0.000,0.00,3,0.56,"0.00-0.19-0.37",0.19,0.333,1.49,3.16,-1.67,2.667,5.667,0.000,64.11,19.84,0.309,-0.56,0.333,44.50,106.67,13.67,2
146,"Livorno","🇹🇷",9.10,,0.000,0.00,1,0.57,"0.00-0.00-0.57",0.00,0.000,1.71,2.28,-0.57,3.000,4.000,0.000,253.92,112.73,0.444,-0.57,0.000,53.00,198.00,22.00,1
147,"Hungry Eagles","🇪🇺",8.83,,0.000,0.00,1,0.57,"0.00-0.00-0.57",0.00,0.000,2.28,3.42,-1.14,4.000,6.000,0.000,277.27,103.05,0.372,-1.14,1.000,52.60,181.00,10.00,1
148,"New Spirit","🇪🇸",7.53,2,0.000,0.00,3,0.87,"0.00-0.00-0.87",0.00,0.000,0.29,5.22,-4.93,0.333,6.000,0.000,56.45,17.30,0.307,-1.64,0.000,44.87,59.67,4.67,2
149,"Alcorcón HC","🇪🇸",5.84,3,0.000,0.00,2,0.34,"0.00-0.00-0.34",0.00,0.000,0.17,2.58,-2.41,0.500,7.500,0.000,56.24,21.16,0.376,-1.20,0.000,51.25,123.00,5.50,1
150,"Moros FC","🇲🇦",5.33,,0.000,0.00,1,0.44,"0.00-0.00-0.44",0.00,0.000,0.00,1.32,-1.32,0.000,3.000,0.000,170.64,49.13,0.288,-1.32,1.000,48.60,112.00,8.00,1
151,"Mint Haxball","🇪🇺",5.28,3,0.000,0.00,2,0.40,"0.00-0.00-0.40",0.00,0.000,0.20,2.60,-2.40,0.500,6.500,0.000,51.80,17.10,0.330,-1.20,0.000,42.70,85.50,5.00,2
152,"MaD BeasTs","🇵🇹",5.21,,0.000,0.00,1,0.57,"0.00-0.00-0.57",0.00,0.000,0.57,4.55,-3.99,1.000,8.000,0.000,161.12,63.77,0.396,-3.99,0.000,48.50,112.00,6.00,1
153,"Ballers DC","🇪🇸",4.77,,0.000,0.00,1,0.44,"0.00-0.00-0.44",0.00,0.000,0.44,1.32,-0.88,1.000,3.000,0.000,144.32,39.48,0.274,-0.88,1.000,40.90,90.00,10.00,1
154,"Reino De Asturias","🇪🇸",4.71,,0.000,0.00,1,0.70,"0.00-0.00-0.70",0.00,0.000,0.70,5.60,-4.90,1.000,8.000,0.000,150.50,54.60,0.363,-4.90,0.000,41.40,78.00,1.00,1
155,"Harissa FC","🇹🇳",4.37,1,1.000,0.00,1,0.44,"0.00-0.00-0.44",0.00,0.000,0.00,0.44,-0.44,0.000,1.000,0.000,124.52,32.12,0.258,-0.44,1.000,45.10,73.00,1.00,2
156,"HFL Drafters","🇪🇺",3.15,,0.000,0.00,1,0.70,"0.00-0.00-0.70",0.00,0.000,0.00,4.90,-4.90,0.000,7.000,0.000,105.00,30.80,0.293,-4.90,0.000,41.40,44.00,3.00,1
157,"Hosbes FC","🇹🇷",2.06,2,0.000,0.00,1,0.29,"0.00-0.00-0.29",0.00,0.000,0.29,2.32,-2.03,1.000,8.000,0.000,57.13,12.47,0.218,-2.03,0.000,47.60,43.00,15.00,2
