category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Segunda division",8,"Mattilans HT","🇮🇹",22,20.46,10,2.200,"7-1-2",41,31,10,1
"Segunda division",9,"Grosse Condanne","🇮🇹",22,16.05,12,1.833,"7-1-4",49,33,16,2
"Segunda division",10,"Blue Lock","🇪🇸",22,15.84,8,2.750,"7-1-0",39,6,33,1
"Segunda division",11,"Pizzza FC","🇮🇹",21,16.59,11,1.909,"7-0-4",32,26,6,1
"Segunda division",12,"Dinamo Timanfaya","🇪🇸",20,15.17,23,0.870,"6-2-15",56,78,-22,3
"Segunda division",13,"Old Farts","🇪🇺",19,19.00,9,2.111,"6-1-2",47,28,19,1
"Segunda division",14,"Monos negros","🇪🇸",18,18.00,7,2.571,"6-0-1",38,19,19,1
"Segunda division",15,"QS Assurdi","🇮🇹",18,18.00,9,2.000,"6-0-3",39,25,14,1
"Segunda division",16,"Vinotinto","🇪🇸",18,18.00,9,2.000,"6-0-3",44,42,2,1
"Segunda division",17,"CF Talavera","🇪🇸",18,16.74,7,2.571,"6-0-1",36,21,15,1
"Segunda division",18,"Ils Sont Tristes","🇹🇷",18,11.70,7,2.571,"6-0-1",29,12,17,1
"Segunda division",19,"O11CE","🇪🇺",16,13.76,8,2.000,"5-1-2",54,32,22,1
"Segunda division",20,"Kamikaze FC","🇪🇺",15,12.90,8,1.875,"5-0-3",40,35,5,1
"Segunda division",21,"Skibidi Toilet","🇪🇺",15,9.75,8,1.875,"5-0-3",26,22,4,1
"Segunda division",22,"Palomares CF","🇪🇸",15,9.75,9,1.667,"4-3-2",14,13,1,1
"Segunda division",23,"Phase Shift","🇮🇹",13,12.09,10,1.300,"4-1-5",28,39,-11,1
"Segunda division",24,"Gamberritos FC","🇪🇺",13,7.54,5,2.600,"4-1-0",26,9,17,1
"Segunda division",25,"Celta de Vigo","🇵🇹",13,7.54,6,2.167,"4-1-1",26,7,19,1
"Segunda division",26,"Haxlock Next Gen","🇮🇹",11,8.69,11,1.000,"3-2-6",24,38,-14,1
"Segunda division",27,"EDF","🇫🇷",10,9.30,9,1.111,"3-1-5",27,42,-15,1
"Segunda division",28,"Malaquito de Menfis","🇪🇸",10,9.30,10,1.000,"3-1-6",32,41,-9,1
"Segunda division",29,"Popper Munchen","🇪🇸",10,7.90,7,1.429,"3-1-3",21,23,-2,1
"Segunda division",30,"Real Zaragoza","🇪🇸",10,6.50,8,1.250,"3-1-4",20,17,3,1
"Segunda division",31,"Bimbo FC","🇪🇸",9,9.00,8,1.125,"3-0-5",31,35,-4,1
"Segunda division",32,"Galácticos Blaugranas","🇪🇸",9,8.37,9,1.000,"3-0-6",26,37,-11,1
"Segunda division",33,"Haramball FC","🇪🇸",9,7.74,6,1.500,"3-0-3",22,30,-8,1
"Segunda division",34,"Los Pollos Hermanos","🇮🇹",7,7.00,8,0.875,"2-1-5",25,30,-5,1
"Segunda division",35,"Dark Fvria","🇪🇺",7,6.02,7,1.000,"2-1-4",21,32,-11,1
"Segunda division",36,"Lleida Esportiu","🇪🇸",7,5.04,8,0.875,"2-1-5",23,32,-9,1
"Segunda division",37,"Pink Dragons","🇪🇸",6,5.58,7,0.857,"2-0-5",22,34,-12,1
"Segunda division",38,"CD Quinto","🇪🇸",6,5.58,8,0.750,"2-0-6",26,41,-15,1
"Segunda division",39,"Bari Passato","🇮🇹",6,5.16,6,1.000,"2-0-4",28,43,-15,1
"Segunda division",40,"Lleida Femenino","🇪🇸",6,3.48,5,1.200,"2-0-3",19,24,-5,1
"Segunda division",41,"Real Furcia","🇪🇸",6,3.48,7,0.857,"2-0-5",18,25,-7,1
"Segunda division",42,"Dinamo Timanfaya Next Gen","🇪🇸",4,2.88,7,0.571,"1-1-5",10,31,-21,1
"Segunda division",43,"Bastard Munchen","🇪🇸",3,2.37,8,0.375,"1-0-7",8,41,-33,1
"Segunda division",44,"Manchester City","🇪🇸",3,2.37,9,0.333,"1-0-8",14,42,-28,1
"Segunda division",45,"Los Faraones","🇪🇸",3,1.74,2,1.500,"1-0-1",5,9,-4,1
"Segunda division",46,"Mata Patos","🇵🇹",1,1.00,7,0.143,"0-1-6",15,41,-26,1
"Segunda division",47,"Atlas Lions","🇲🇦",1,0.65,6,0.167,"0-1-5",10,17,-7,1
"Segunda division",48,"Sporting de Gijón B","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Segunda division",49,"GGU","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Segunda division",50,"Syvakers FC","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
