category,rank,team,country,points,era_points,matches,ppg,record,gf,ga,gd,competitions
"Supercopa",3,"Cemisgezek United","🇹🇷",9,6.06,6,1.500,"3-0-3",24,24,0,4
"Supercopa",4,"Brazil","🇮🇹",6,6.00,2,3.000,"2-0-0",8,0,8,1
"Supercopa",5,"L4st Dance","🇹🇷",6,4.32,2,3.000,"2-0-0",12,4,8,1
"Supercopa",6,"Ajax","🇵🇹",6,3.48,2,3.000,"2-0-0",7,4,3,1
"Supercopa",7,"QS Assurdi","🇮🇹",4,3.72,4,1.000,"1-1-2",14,21,-7,2
"Supercopa",8,"Old Farts","🇪🇺",3,2.58,2,1.500,"1-0-1",9,9,0,1
"Supercopa",9,"Raimon Junior High","🇳🇱",3,1.95,2,1.500,"1-0-1",6,6,0,1
"Supercopa",10,"Ghost Town","🇹🇷",1,0.93,1,1.000,"0-1-0",4,4,0,1
"Supercopa",11,"V Destroyers","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Supercopa",12,"Luton Town FC","🇹🇷",0,0.00,1,0.000,"0-0-1",3,4,-1,1
"Supercopa",13,"Boquita Juniors","🇪🇸",0,0.00,1,0.000,"0-0-1",1,2,-1,1
"Supercopa",14,"Gamberritos FC","🇪🇺",0,0.00,1,0.000,"0-0-1",4,5,-1,1
"Supercopa",15,"Potatoes FC","🇮🇹",0,0.00,1,0.000,"0-0-1",0,6,-6,1
"Supercopa",16,"Black Dragons","🇪🇸",0,0.00,1,0.000,"0-0-1",1,8,-7,1
"Supercopa",17,"Salford","🇹🇷",0,0.00,1,0.000,"0-0-1",2,9,-7,1
"Supercopa",18,"La Mamá de Nico","🇪🇸",0,0.00,2,0.000,"0-0-2",0,14,-14,2
"Summer",1,"QS Assurdi","🇮🇹",24,20.64,12,2.000,"8-0-4",54,44,10,2
"Summer",2,"Scizors","🇫🇷",18,18.00,8,2.250,"6-0-2",48,22,26,1
"Summer",3,"Larp Kings","🇵🇱",15,15.00,6,2.500,"5-0-1",38,16,22,1
"Summer",4,"Brazil","🇮🇹",15,15.00,6,2.500,"5-0-1",30,20,10,1
"Summer",5,"Old Farts","🇪🇺",15,13.88,8,1.875,"5-0-3",38,25,13,2
"Summer",6,"L4st Dance","🇹🇷",15,13.32,9,1.667,"5-0-4",51,35,16,2
"Summer",7,"Knattspyrnufélag Reykjavíkur","🇪🇺",15,12.20,5,3.000,"5-0-0",22,11,11,1
"Summer",8,"Raimon Junior High","🇳🇱",15,9.40,6,2.500,"5-0-1",36,10,26,1
"Summer",9,"Predators Eagles","🇹🇷",15,9.40,6,2.500,"5-0-1",29,9,20,1
"Summer",10,"Stallions","🇪🇺",12,9.76,5,2.400,"4-0-1",26,11,15,1
"Summer",11,"Saber FC","🇳🇱",9,9.00,5,1.800,"3-0-2",31,12,19,1
"Summer",12,"River Plate","🇹🇷",9,7.88,7,1.286,"3-0-4",17,23,-6,2
"Summer",13,"Monos negros","🇪🇸",6,6.00,3,2.000,"2-0-1",19,8,11,1
"Summer",14,"Deportivo Reyes","🇪🇸",6,6.00,4,1.500,"2-0-2",13,12,1,1
"Summer",15,"Maximilian FC","🇹🇷",6,5.44,3,2.000,"2-0-1",20,12,8,2
"Summer",16,"Giresunspor FC","🇹🇷",6,4.88,3,2.000,"2-0-1",8,10,-2,1
"Summer",17,"Occult Epsilon","🇪🇺",6,3.76,4,1.500,"2-0-2",17,16,1,1
"Summer",18,"Los Turcos","🇹🇷",6,3.76,4,1.500,"2-0-2",12,13,-1,1
"Summer",19,"Dark Angels","🇪🇺",6,3.76,4,1.500,"2-0-2",8,12,-4,1
"Summer",20,"Brentford","🇪🇺",6,3.76,4,1.500,"2-0-2",9,19,-10,1
"Summer",21,"Black Dragons","🇪🇸",6,3.76,4,1.500,"2-0-2",6,17,-11,1
"Summer",22,"Green Devils","🇪🇺",3,3.00,2,1.500,"1-0-1",12,9,3,1
"Summer",23,"Última Leyenda","🇪🇸",3,3.00,2,1.500,"1-0-1",12,9,3,1
"Summer",24,"Levante UH","🇪🇸",3,3.00,3,1.000,"1-0-2",7,12,-5,1
"Summer",25,"Galácticos Blaugranas","🇪🇸",3,3.00,3,1.000,"1-0-2",9,16,-7,2
"Summer",26,"Div16","🇲🇦",3,3.00,3,1.000,"1-0-2",5,16,-11,1
"Summer",27,"Juventus FC","🇪🇸",3,2.44,3,1.000,"1-0-2",4,5,-1,1
"Summer",28,"Pizzza FC","🇮🇹",3,2.44,3,1.000,"1-0-2",6,13,-7,1
"Summer",29,"Manchester City","🇪🇸",3,2.44,3,1.000,"1-0-2",4,15,-11,1
"Summer",30,"FC Pessoux","🇫🇷",3,1.88,1,3.000,"1-0-0",8,1,7,1
"Summer",31,"Ajax","🇵🇹",3,1.88,2,1.500,"1-0-1",9,3,6,1
"Summer",32,"Warramela","🇪🇺",1,0.63,2,0.500,"0-1-1",5,7,-2,1
"Summer",33,"Lleida Esportiu","🇪🇸",1,0.63,3,0.333,"0-1-2",8,16,-8,1
"Summer",34,"Lleida Femenino","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",35,"Volantes Corvus","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",36,"Barca Saint German","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",37,"FC Chorfa","🇲🇦",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",38,"Bastard Munchen","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",39,"La Mamá de Nico","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",40,"Gigaporto FC","🇪🇺",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",41,"Alter Ego Ares","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",42,"Los Galácticos","🇹🇷",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",43,"Vornix United","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",44,"Rosentia FF","🇮🇹",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",45,"Racing Club Oued Zem","🇲🇦",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",46,"Sekighara Warriors","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",47,"Mollote's Roses","🇪🇸",0,0.00,0,0.000,"0-0-0",0,0,0,1
"Summer",48,"Fineta HC","🇪🇸",0,0.00,1,0.000,"0-0-1",0,1,-1,1
"Summer",49,"Livorno","🇹🇷",0,0.00,1,0.000,"0-0-1",3,4,-1,1
"Summer",50,"Ballers DC","🇪🇸",0,0.00,1,0.000,"0-0-1",1,3,-2,1
"Summer",51,"Hungry Eagles","🇪🇺",0,0.00,1,0.000,"0-0-1",4,6,-2,1
"Summer",52,"Real Sociedad","🇪🇸",0,0.00,1,0.000,"0-0-1",1,3,-2,1
"Summer",53,"Moros FC","🇲🇦",0,0.00,1,0.000,"0-0-1",0,3,-3,1
"Summer",54,"UD Fonteta","🇪🇸",0,0.00,2,0.000,"0-0-2",3,7,-4,2
"Summer",55,"Porritos Express SL","🇪🇸",0,0.00,2,0.000,"0-0-2",6,13,-7,1
"Summer",56,"MaD BeasTs","🇵🇹",0,0.00,1,0.000,"0-0-1",1,8,-7,1
"Summer",57,"Reino De Asturias","🇪🇸",0,0.00,1,0.000,"0-0-1",1,8,-7,1
"Summer",58,"HFL Drafters","🇪🇺",0,0.00,1,0.000,"0-0-1",0,7,-7,1
"Summer",59,"Dinamo Timanfaya","🇪🇸",0,0.00,2,0.000,"0-0-2",2,11,-9,2
"Summer",60,"Vornix City","🇪🇸",0,0.00,2,0.000,"0-0-2",2,11,-9,1
"Summer",61,"Gamberritos FC","🇪🇺",0,0.00,2,0.000,"0-0-2",1,11,-10,1
"Summer",62,"Albacete","🇪🇸",0,0.00,2,0.000,"0-0-2",6,16,-10,1
"Summer",63,"PSG","🇪🇺",0,0.00,2,0.000,"0-0-2",8,21,-13,1
"Summer",64,"Bimbo FC","🇪🇸",0,0.00,2,0.000,"0-0-2",1,15,-14,1
"Summer",65,"Mattilans HT","🇮🇹",0,0.00,2,0.000,"0-0-2",0,14,-14,1
"Summer",66,"Vodka Juniors","🇪🇸",0,0.00,3,0.000,"0-0-3",0,20,-20,2
"Nations",1,"Turkey","🇹🇷",27,24.20,10,2.700,"9-0-1",75,29,46,2
"Nations",2,"Italy","🇮🇹",24,22.32,11,2.182,"8-0-3",61,54,7,2
"Nations",3,"Spain","🇪🇸",22,20.32,11,2.000,"7-1-3",54,34,20,2
"Nations",4,"Poland","🇵🇱",16,16.00,6,2.667,"5-1-0",48,20,28,1
"Nations",5,"Turkey 2","🇹🇷",12,9.76,5,2.400,"4-0-1",27,9,18,1
"Nations",6,"Netherlands","🇳🇱",10,8.13,5,2.000,"3-1-1",27,16,11,1
"Nations",7,"Algeria","🇩🇿",9,9.00,7,1.286,"3-0-4",31,37,-6,2
"Nations",8,"Portugal","🇵🇹",9,7.88,4,2.250,"3-0-1",25,16,9,2
"Nations",9,"Romania","🇷🇴",9,7.88,5,1.800,"3-0-2",28,17,11,2
"Nations",10,"Spain 2","🇪🇸",9,7.32,5,1.800,"3-0-2",20,24,-4,1
"Nations",11,"Ukraine","🇺🇦",6,6.00,5,1.200,"2-0-3",25,30,-5,1
"Nations",12,"United Kingdom","🇬🇧",6,6.00,8,0.750,"2-0-6",35,43,-8,2
"Nations",13,"France","🇫🇷",6,5.44,7,0.857,"2-0-5",20,41,-21,2
"Nations",14,"Morocco","🇲🇦",6,5.44,8,0.750,"2-0-6",16,36,-20,2
"Nations",15,"Serbia","🇷🇸",3,2.44,3,1.000,"1-0-2",14,15,-1,1
"Nations",16,"Bosnia and Herzegovina","🇧🇦",1,0.81,3,0.333,"0-1-2",7,20,-13,1
"Nations",17,"Argentina","🇦🇷",0,0.00,1,0.000,"0-0-1",5,9,-4,1
"Nations",18,"Balkans","🇪🇺",0,0.00,2,0.000,"0-0-2",4,9,-5,1
"Nations",19,"Gran Colombia","🇨🇴",0,0.00,3,0.000,"0-0-3",4,15,-11,1
"Nations",20,"Perú","🇵🇪",0,0.00,3,0.000,"0-0-3",3,23,-20,1
"Nations",21,"Egypt","🇪🇬",0,0.00,6,0.000,"0-0-6",5,37,-32,2
